original_id,consolidated_id,consolidated_name
ABR967589449838,ABR967589449838,Biogas Hattlund GmbH ＆ Co. KG
ABR998043774098,ABR998043774098,Biogas Hattlundmoor GbR
ABR926429346232,ABR926429346232,Biogas Hecklingen GmbH ＆ Co. KG
ABR938161486633,ABR938161486633,Biogas Heidkaten GmbH ＆ Co. KG
ABR915212535618,ABR915212535618,Biogas Heilemann
ABR919923024744,ABR919923024744,Biogas Heitlingen GmbH
ABR911270068013,ABR911270068013,Biogas Hellefelder Höhe GmbH
ABR941319039834,ABR941319039834,Biogas Helweg GbR
ABR978885292967,ABR978885292967,Biogas Hemslingen/Söhlingen
ABR938839523530,ABR938839523530,Biogas Henn ＆ Keim Gmbh ＆ Co. KG
ABR928570560116,ABR928570560116,Biogas Hensen GmbH ＆ Co. KG
ABR932527562689,ABR932527562689,Biogas Herbertingen GmbH
ABR938853493116,ABR938853493116,Biogas Herchenröder GbR
ABR921023918175,ABR921023918175,Biogas Herzberg GmbH ＆ Co. KG
ABR904212835460,ABR904212835460,Biogas Herzog KG
ABR962000458734,ABR962000458734,Biogas Heuer
ABR941180827073,ABR941180827073,Biogas Hillerse
ABR945916414292,ABR945916414292,Biogas Hirl
ABR911835191552,ABR911835191552,Biogas Hochviöl GmbH & Co.KG
ABR965141016269,ABR965141016269,Biogas Hof Petersen GmbH ＆ Co. KG
ABR911025402376,ABR911025402376,Biogas Hof Wittmar GmbH
ABR989188820184,ABR989188820184,Biogas Hohenlockstedt GmbH ＆ Co. KG
ABR921067936425,ABR921067936425,Biogas Hohenmoor GmbH ＆ Co KG
ABR928199212953,ABR928199212953,Biogas Holters GbR
ABR972420949187,ABR972420949187,Biogas Homberg GmbH ＆ Co. KG
ABR920823016548,ABR920823016548,Biogas Honkomp GmbH＆Co.KG
ABR961464110691,ABR961464110691,Biogas Horsbüllerweg GmbH ＆ Co. KG
ABR975149480610,ABR975149480610,Biogas Horst GmbH ＆ Co. KG
ABR934410227644,ABR934410227644,Biogas Horstmann GbR
ABR927476706765,ABR927476706765,Biogas Hovestadt GmbH
ABR916625204948,ABR916625204948,Biogas Höhler GbR
ABR977703892693,ABR977703892693,Biogas Höhnstedt GmbH
ABR961715057232,ABR961715057232,Biogas Hölsen GmbH ＆ Co. KG
ABR916592780476,ABR916592780476,Biogas Hünfelden GbR
ABR983961832517,ABR983961832517,Biogas Ihorst GmbH ＆ Co. KG
ABR971259855119,ABR971259855119,Biogas Ilgner GmbH
ABR958524833553,ABR958524833553,Biogas Indlekofer GbR
ABR948667421274,ABR948667421274,Biogas Ingwersen GmbH ＆ Co.KG
ABR985322698404,ABR985322698404,Biogas Investor GmbH
ABR940058138228,ABR985322698404,Biogas Investor GmbH
ABR968880562769,ABR985322698404,Biogas Investor GmbH
ABR949285311305,ABR949285311305,Biogas Irnkam
ABR964769854260,ABR964769854260,Biogas Jarplund-Dorf GmbH ＆ Co Kommanditgesellschaft
ABR915768177584,ABR915768177584,Biogas Jeetzelniederung Bückau GmbH
ABR969074070107,ABR969074070107,Biogas Jena GmbH ＆ Co. KG
ABR962878133566,ABR962878133566,Biogas Jensen GbR
ABR945879818755,ABR945879818755,Biogas Jever Nord GmbH ＆ Co. KG
ABR913791987958,ABR913791987958,Biogas Johannsen Schobüll GbR Michael Johannsen
ABR905841185094,ABR905841185094,Biogas Jungwirth GdbR
ABR985862376077,ABR985862376077,Biogas Junkernhose GbR
ABR982838458539,ABR982838458539,Biogas Kajedeich GbR
ABR904678611783,ABR904678611783,Biogas Kalbe GmbH ＆ Co. KG
ABR901547791799,ABR901547791799,Biogas Kalhöfer-Köchling GbR
ABR990136230191,ABR990136230191,Biogas Kandert Schillingsfürst KG
ABR953370640225,ABR953370640225,Biogas Karrenzin
ABR915160111216,ABR915160111216,Biogas Kehm GbR
ABR994794838089,ABR994794838089,Biogas Ketelsby GmbH ＆ Co. KG
ABR939431501919,ABR939431501919,Biogas Kitzingen 1 GmbH
ABR934587873286,ABR934587873286,Biogas Kitzingen 2 GmbH
ABR910872013292,ABR910872013292,Biogas Klein Lessen GmbH ＆ Co.KG
ABR921600112378,ABR921600112378,Biogas Klein Mühlingen
ABR952708775455,ABR952708775455,Biogas Klein Wanzleben GmbH
ABR989694865631,ABR989694865631,Biogas Kleinneuhausen Betriebs GmbH und Co. KG
ABR984615209174,ABR984615209174,Biogas Kleve
ABR922634071167,ABR922634071167,Biogas Koch
ABR951027793553,ABR951027793553,Biogas Kochendorf GmbH ＆ Co. KG
ABR906998200593,ABR906998200593,Biogas Kolenfeld GmbH ＆ Co. KG
ABR978240487908,ABR978240487908,Biogas Kraak
ABR938031975601,ABR938031975601,Biogas Kraatz GmbH ＆ Co. KG
ABR915311706490,ABR915311706490,Biogas Krach-Oberst GbR
ABR972792156718,ABR972792156718,Biogas Kraham GbR
ABR967461826078,ABR967461826078,Biogas Krelingen UG (haftungsbeschränkt) ＆ Co. KG
ABR977428706510,ABR977428706510,Biogas Kroll Tetenhusen GmbH ＆ Co. KG
ABR954824663432,ABR954824663432,Biogas Krummhörn August-Wilhelm Pauls
ABR909550597995,ABR909550597995,Biogas Kruse GmbH ＆ Co. KG
ABR963250860537,ABR909550597995,Biogas Kruse GmbH ＆ Co. KG
ABR954273240314,ABR954273240314,Biogas Kuck GmbH ＆ Co. KG
ABR933438468930,ABR933438468930,Biogas Kuhstorf GmbH
ABR915586896643,ABR915586896643,Biogas Kölburg Gbr
ABR953566556262,ABR953566556262,Biogas Königsmoor GmbH ＆ Co KG
ABR913143690000,ABR913143690000,Biogas Köpke KG
ABR947213859004,ABR947213859004,Biogas LK Futterkamp GmbH
ABR912217212605,ABR912217212605,Biogas Labenz GmbH＆Co.KG
ABR938508511370,ABR938508511370,Biogas Lachendorf GmbH ＆ Co. KG
ABR904695898068,ABR904695898068,Biogas Lamspringe Gmbh ＆ Co. KG
ABR992195226092,ABR992195226092,Biogas Langstoft GmbH ＆ Co. KG
ABR957865151005,ABR957865151005,Biogas Lappwald GmbH ＆ Co.KG
ABR958891930671,ABR958891930671,Biogas Lausberg UG (halftungsbeschränkt) ＆CoKG
ABR955944453040,ABR955944453040,Biogas Lehmrade GmbH
ABR983264573148,ABR983264573148,Biogas Leinfelden-Echterdingen GmbH ＆ Co. KG
ABR924851527434,ABR924851527434,Biogas Lichtenberg GmbH ＆ Co. KG
ABR934760441585,ABR934760441585,Biogas Linden GmbH ＆ Co.KG
ABR911505053463,ABR911505053463,Biogas Lindloh GmbH ＆Co.KG
ABR938249833854,ABR938249833854,Biogas Linnau GmbH ＆ Co. KG
ABR989962123111,ABR989962123111,Biogas Lohbusch GmbH ＆ Co. KG
ABR905793052611,ABR905793052611,Biogas Lohe GmbH ＆ Co. KG
ABR948927687105,ABR948927687105,Biogas Lohe West
ABR987606954817,ABR987606954817,Biogas Lohne GmbH & Co KG
ABR995752677726,ABR995752677726,Biogas Lommel GbR
ABR951505652624,ABR951505652624,Biogas Lorenz GmbH ＆ Co. KG
ABR974905109765,ABR974905109765,Biogas Lorsch GmbH ＆ Co. KG
ABR900333691107,ABR900333691107,Biogas Lothe GmbH ＆ Co. KG
ABR976131708736,ABR976131708736,Biogas Lugtenberg UG (haftungsbeschränkt) ＆ Co. KG Lutheran
ABR971799729505,ABR971799729505,Biogas Lusebrink GmbH ＆ Co KG
ABR928347250127,ABR928347250127,Biogas Löb GbR
ABR961179654411,ABR961179654411,Biogas Löhndorf GmbH ＆ Co. KG
ABR904597515667,ABR904597515667,Biogas Löseke
ABR931361449477,ABR931361449477,Biogas Lübke-Koog GmbH ＆ Co.KG
ABR910504797224,ABR910504797224,Biogas Lücken GmbH ＆ Co. KG
ABR978738322643,ABR978738322643,Biogas Lührs GbR
ABR984016985608,ABR984016985608,Biogas Lütjenhorn GmbH u. Co. KG
ABR968212908050,ABR968212908050,Biogas Lütke Holz GbR
ABR937712942468,ABR937712942468,Biogas M.L. Petersen GmbH ＆ Co.KG
ABR960128926395,ABR960128926395,Biogas Mahrenholz GbR
ABR910166956793,ABR910166956793,Biogas Maihingen GbR
ABR914645145142,ABR914645145142,Biogas Mankmoos GmbH ＆ Co. KG
ABR940224262344,ABR940224262344,Biogas Mansie GmbH ＆ Co. KG
ABR985956605472,ABR985956605472,Biogas Markussen GmbH ＆ Co KG
ABR933222098688,ABR933222098688,Biogas Matthias Dürr
ABR989382726732,ABR933222098688,Biogas Matthias Dürr
ABR995883567514,ABR995883567514,Biogas Max Zintl eGbR
ABR953973884835,ABR953973884835,Biogas Menachtal OHG
ABR922021627571,ABR922021627571,Biogas Michael Siegert
ABR948519049298,ABR948519049298,Biogas Milda GmbH ＆ Co. KG
ABR911765125481,ABR911765125481,Biogas Mittleres Nordfriesland GmbH ＆ Co. KG
ABR915743872510,ABR915743872510,Biogas Moldenit GmbH ＆ Co. KG
ABR933213065651,ABR933213065651,Biogas Muhl Gmbh＆Co.KG
ABR924977736185,ABR924977736185,Biogas Mönkebüll GmbH ＆ Co. KG
ABR971620053885,ABR971620053885,Biogas Mönninghausen GmbH
ABR970101416089,ABR970101416089,Biogas Mühlbach GbR
ABR971401033327,ABR971401033327,Biogas Mühlen 2 GmbH ＆ Co. KG
ABR928803607595,ABR928803607595,Biogas Mühlen GmbH ＆ Co.KG
ABR960697721490,ABR960697721490,Biogas Mühlendamm I GmbH ＆ Co. KG
ABR948178723959,ABR948178723959,Biogas Müller GbR
ABR928396902251,ABR928396902251,Biogas Münzenberg GmbH
ABR992499524764,ABR992499524764,Biogas Müsleringen GmbH＆Co.KG
ABR933768395012,ABR933768395012,Biogas NALO GmbH ＆ Co.KG
ABR923699557320,ABR923699557320,Biogas Neiletal GmbH ＆ Co. KG
ABR911974762156,ABR911974762156,Biogas Neperstorf UG (haftungsbeschränkt) ＆ Co.KG
ABR956615773054,ABR956615773054,Biogas Nessa GmbH
ABR950741326795,ABR950741326795,Biogas Neu Sterley GmbH ＆ Co. KG
ABR936463214787,ABR936463214787,Biogas Neuburg Steinhausen
ABR963088094111,ABR963088094111,Biogas Neuburg Steinhausen GmbH ＆ Co. KG
ABR977695808221,ABR977695808221,"Biogas Neue Welt GbR, Gaby und Hubert Ulrich"
ABR981731278688,ABR981731278688,Biogas Neuenkirchen GmbH ＆ Co KG
ABR964420774241,ABR964420774241,Biogas Neues Ufer GmbH
ABR901691328063,ABR901691328063,Biogas Neuland GmbH ＆ Co.KG
ABR906617403923,ABR906617403923,Biogas Neuses GmbH＆Co KG
ABR967984458527,ABR967984458527,Biogas Neutrebbin
ABR941937250062,ABR941937250062,Biogas Niedamm GmbH ＆ Co. KG
ABR954766041848,ABR954766041848,Biogas Niederer Fläming
ABR918375903423,ABR918375903423,Biogas Nieheim GmbH ＆ Co. KG
ABR944435739305,ABR944435739305,Biogas Niemand GmbH＆Co.KG
ABR915800703634,ABR915800703634,Biogas Nissen GmbH ＆ Co. KG
ABR944598149249,ABR944598149249,Biogas Nootbaar GmbH ＆ Co.KG  Thomas Nootbaar
ABR976510753531,ABR976510753531,Biogas Nordel GmbH ＆ Co.KG
ABR936692134610,ABR936692134610,Biogas Norderheverkoog GmbH ＆ Co. KG
ABR935417200319,ABR935417200319,Biogas Nordermoor GmbH ＆ Co. KG
ABR947629293041,ABR947629293041,Biogas Nordhagen GmbH ＆ Co.KG
ABR970401915565,ABR970401915565,Biogas Nordholz GmbH
ABR990629502781,ABR990629502781,Biogas Nordwald Gmbh ＆ Co.KG
ABR989983195043,ABR989983195043,Biogas Nordwarf GmbH ＆ Co.KG
ABR983477645403,ABR983477645403,Biogas Nutz GbR
ABR925959445064,ABR925959445064,Biogas Nüttel GmbH ＆ Co. KG
ABR931003685171,ABR931003685171,Biogas Oberhavel GmbH
ABR928492925703,ABR928492925703,Biogas Oberhessen GmbH ＆ Co. KG
ABR935278013905,ABR935278013905,Biogas Oberleiterbach GmbH
ABR964268425985,ABR964268425985,Biogas Oberried GbR
ABR914919979893,ABR914919979893,Biogas Oberstark GmbH
ABR907463384206,ABR907463384206,Biogas Oedelum
ABR918244019118,ABR918244019118,Biogas Oeker GbR
ABR981694384808,ABR981694384808,Biogas Oertzenhof GmbH
ABR915044187863,ABR915044187863,Biogas Osterburg
ABR921405679250,ABR921405679250,Biogas Ostercadewisch KG
ABR940863771139,ABR940863771139,Biogas Osterloh GmbH
ABR966613223536,ABR966613223536,Biogas Ostermayr Gbr
ABR957328855167,ABR957328855167,Biogas Osterwede
ABR950820852696,ABR950820852696,Biogas Ostuffeln Gmbh und CoKG
ABR911227556037,ABR911227556037,Biogas Pape GmbH
ABR948847611037,ABR948847611037,Biogas Passin
ABR994557320769,ABR994557320769,Biogas Paulsen GmbH ＆ Co. KG
ABR910558468408,ABR910558468408,Biogas Penzlin
ABR910895421029,ABR910895421029,Biogas Petersberg
ABR957778258105,ABR957778258105,Biogas Petersdorf GmbH  ＆ Co.KG
ABR935598152698,ABR935598152698,Biogas Petersen GbR
ABR987152058762,ABR987152058762,Biogas Piesting GmbH＆Co.KG
ABR954444739654,ABR954444739654,Biogas Pinnow GmbH
ABR971068596616,ABR971068596616,Biogas Plockhorst GmbH ＆ Co. KG
ABR941344391822,ABR941344391822,Biogas Poitzen GmbH ＆ Co. KG
ABR995220536807,ABR995220536807,Biogas Pool 1 für Stadtwerke
ABR953422602102,ABR953422602102,Biogas Poppel GmbH ＆ Co. KG
ABR906463945592,ABR906463945592,Biogas Portfolio I UG (haftungsbeschränkt) ＆ Co.KG
ABR987133386013,ABR987133386013,Biogas Portfolio III UG ＆ Co. KG
ABR950600269713,ABR950600269713,Biogas Potthast GmbH ＆ Co. KG
ABR966962148764,ABR966962148764,Biogas Poyenberg GmbH ＆ Co. KG
ABR992165343804,ABR992165343804,"Biogas Poyenberg GmbH ＆ Co. KG Sönke Rösch, Bernd Ehlers, Timm Kühl"
ABR990279816382,ABR990279816382,Biogas Produktion Altmark GmbH
ABR927677416876,ABR927677416876,Biogas Produktion Aschersleben GmbH
ABR985699898087,ABR985699898087,Biogas Produktion Brenz GmbH
ABR908410189066,ABR908410189066,Biogas Produktion Flechtingen GmbH
ABR950670651845,ABR950670651845,Biogas Produktion Groß Tessin GmbH
ABR931872712961,ABR931872712961,Biogas Produktion Holleben GmbH
ABR907528195471,ABR907528195471,Biogas Produktion Hornow GmbH
ABR937851175833,ABR937851175833,Biogas Produktion Lübs GmbH
ABR994792332619,ABR994792332619,Biogas Produktion Nonnendorf GmbH ＆ Co.KG
ABR957950901614,ABR957950901614,Biogas Produktion PAL GmbH
ABR956425118823,ABR956425118823,Biogas Produktion Perleberg Zwei GmbH
ABR919742230814,ABR919742230814,Biogas Produktion Röblingen GmbH
ABR948435985908,ABR948435985908,Biogas Produktion Schöllnitz GmbH
ABR963787297226,ABR963787297226,Biogas Produktion Seelow GmbH
ABR978713733464,ABR978713733464,Biogas Produktion Wuthenow GmbH
ABR973102234744,ABR973102234744,Biogas Putzar
ABR900895566783,ABR900895566783,Biogas Quastenberg GmbH ＆ Co. KG
ABR940246286236,ABR940246286236,Biogas Querfurt GmbH ＆ Co. KG
ABR990242707808,ABR990242707808,Biogas R+S GmbH ＆ Co.KG
ABR958158954365,ABR958158954365,Biogas RAN GmbH ＆ Co.KG
ABR965032179301,ABR965032179301,Biogas RITTLEBEN GmbH ＆ Co. KG
ABR973788879079,ABR973788879079,Biogas Rabe GbR
ABR933377517751,ABR933377517751,Biogas Ramin GmbH
ABR933924895783,ABR933924895783,Biogas Raude GbR
ABR977887323952,ABR977887323952,Biogas Rehau GmbH ＆ Co KG
ABR952627614361,ABR952627614361,Biogas Reher GmbH ＆ Co. KG
ABR999438591627,ABR999438591627,Biogas Reichardtswerben
ABR954217692148,ABR954217692148,Biogas Reichert GbR
ABR914166333974,ABR914166333974,Biogas Reinsfeld GmbH ＆ Co.KG
ABR997446212886,ABR997446212886,Biogas Rekentin Mielke
ABR999607723590,ABR999607723590,Biogas Repower Beratungs GmbH
ABR933153971692,ABR933153971692,Biogas Richter GbR
ABR911701511279,ABR911701511279,Biogas Rieniets
ABR960690961985,ABR960690961985,Biogas Riephof GmbH ＆ Co. KG
ABR991382516480,ABR991382516480,Biogas Rietze GmbH ＆ Co. KG
ABR928072057787,ABR928072057787,Biogas Ringler GbR
ABR967912949448,ABR967912949448,Biogas Rippien GmbH
ABR900256010849,ABR900256010849,Biogas Risum-Lindholm GmbH ＆ Co. Kommanditgesellschaft
ABR905953211964,ABR905953211964,Biogas Roder GbR
ABR960838121837,ABR960838121837,Biogas Roga GmbH ＆ Co.KG
ABR949398758875,ABR949398758875,Biogas Roggenhagen GmbH
ABR992532793027,ABR992532793027,Biogas Rohde GmbH
ABR995561046270,ABR995561046270,Biogas Rossau GmbH
ABR986475029381,ABR986475029381,Biogas Royum GmbH Axel Lamp
ABR900224828858,ABR900224828858,Biogas Rube GmbH ＆ Co. KG
ABR998768628843,ABR998768628843,Biogas Ruchow GmbH ＆ Co. KG
ABR971844202380,ABR971844202380,Biogas Ruest GmbH
ABR981146744105,ABR981146744105,Biogas Ruhland GbR
ABR993716054583,ABR993716054583,Biogas Ruhwinkel GmbH ＆ Co.KG
ABR951880461750,ABR951880461750,Biogas Rönnau
ABR984703794407,ABR984703794407,Biogas Rüpke GmbH ＆ Co. KG
ABR991036766247,ABR991036766247,Biogas Saal GmbH ＆ Co. KG
ABR937953938152,ABR937953938152,Biogas Sachsen-Altmühlgrund GmbH ＆ Co. KG
ABR978041748284,ABR978041748284,Biogas Sachsendorf
ABR949930886745,ABR978041748284,Biogas Sachsendorf
ABR970985383019,ABR970985383019,Biogas Sankt Annen GmbH ＆ Co. KG
ABR937654053444,ABR937654053444,Biogas Satelliten 1 GmbH ＆ Co.KG
ABR921735885925,ABR921735885925,Biogas Scharnebeck GmbH ＆ Co.KG
ABR915967034244,ABR915967034244,Biogas Scharstorf GmbH ＆ Co. KG
ABR946141249123,ABR946141249123,Biogas Schartau
ABR961568857324,ABR961568857324,Biogas Schenkenhorst GmbH ＆ Co. KG
ABR986529386309,ABR986529386309,Biogas Schildt OHG
ABR955491288522,ABR955491288522,Biogas Schleswig GmbH
ABR975035362440,ABR975035362440,Biogas Schlieven
ABR913043893327,ABR913043893327,Biogas Schmeh GbR
ABR988539267869,ABR988539267869,Biogas Schmuggerow GmbH ＆ Co.KG
ABR961439654076,ABR961439654076,Biogas Schneeren
ABR910366254675,ABR910366254675,Biogas Schoissenkager GmbH ＆ Co. KG
ABR954658892145,ABR954658892145,Biogas Schröder GbR
ABR990166247527,ABR990166247527,Biogas Schwabe GmbH ＆ Co. KG
ABR926394948660,ABR926394948660,Biogas Schwabhausen GmbH＆Co.KG
ABR970985349947,ABR970985349947,Biogas Schwaneberg GmbH ＆ Co. KG
ABR935563189650,ABR935563189650,Biogas Schwecke UG(haftungsbeschränkt) ＆ Co.KG
ABR905300225460,ABR905300225460,Biogas Schween GbR
ABR988990987016,ABR988990987016,Biogas  Schäfer-Kaltenthaler GbR
ABR918645050611,ABR918645050611,Biogas Schäferheide GbR
ABR975887988607,ABR975887988607,Biogas Schönerlinde GmbH ＆ Co. KG
ABR946536674264,ABR946536674264,Biogas Schönthal
ABR940468182521,ABR940468182521,Biogas Schönwalde
ABR999502638661,ABR999502638661,Biogas Schümm GmbH ＆ Co. KG
ABR901760966196,ABR901760966196,Biogas Seckach GmbH ＆ Co. KG
ABR931336398380,ABR931336398380,Biogas Seidl GbR
ABR922058725400,ABR922058725400,Biogas Selig GmbH ＆ Co.KG
ABR922059341944,ABR922059341944,Biogas Sentrup
ABR939658342777,ABR939658342777,Biogas Severloh
ABR921508250394,ABR921508250394,Biogas Siebeneichen GmbH ＆ Co. KG
ABR928312733174,ABR928312733174,Biogas Siedenbollentin GmbH ＆ Co.KG
ABR930379075241,ABR930379075241,Biogas SievOh GmbH ＆ Co. KG
ABR931692082145,ABR931692082145,Biogas Sollingland
ABR989771809503,ABR989771809503,Biogas Sophienhof GmbH ＆ Co KG
ABR902800410464,ABR902800410464,Biogas Sorgenfrei
ABR917384743853,ABR917384743853,Biogas Sossau GmbH ＆ Co. KG
ABR990781737144,ABR990781737144,Biogas Spangenberg GmbH
ABR989493194284,ABR989493194284,Biogas Spatz GBR
ABR982581685985,ABR982581685985,Biogas Specken GmbH ＆ CoKG
ABR982776520992,ABR982776520992,Biogas Spekendorf GmbH ＆ Co. KG
ABR971428991297,ABR971428991297,Biogas Staffel GbR
ABR912030146934,ABR912030146934,Biogas Stang GbR
ABR944001133919,ABR944001133919,Biogas Steens GbR
ABR936654486719,ABR936654486719,Biogas Stegelitz GmbH ＆ Co.KG
ABR908004772124,ABR908004772124,Biogas Steyerberg GmbH
ABR963089215430,ABR963089215430,Biogas Strohe GmbH ＆ Co. KG
ABR916873673954,ABR916873673954,Biogas Sudbrock GbR
ABR997527969289,ABR997527969289,Biogas Sunderhof GmbH ＆ Co.KG
ABR998308807486,ABR998308807486,Biogas Suttorf GmbH & Co. KG
ABR983363222787,ABR983363222787,Biogas Söhnstetten GbR
ABR915807352095,ABR915807352095,Biogas Sörup GmbH ＆ Co. KG
ABR932592651561,ABR932592651561,Biogas Süderdorf GmbH ＆ Co. KG
ABR987054531837,ABR987054531837,Biogas Sünteltal GmbH ＆ Co KG
ABR919015560341,ABR919015560341,Biogas Taarstedt GmbH ＆ Co. KG
ABR985053766052,ABR985053766052,Biogas Talge GmbH ＆ Co. KG
ABR902959538224,ABR902959538224,Biogas Temmen KG
ABR941163725754,ABR941163725754,Biogas Tengern GmbH ＆ Co. KG
ABR928514066322,ABR928514066322,Biogas Tewel GmbH ＆ Co. KG
ABR981830978885,ABR981830978885,Biogas Thode GmbH ＆ Co. KG
ABR957900038933,ABR957900038933,Biogas Thomasburg
ABR999559464008,ABR999559464008,Biogas Thoroe GmbH ＆ Co.KG
ABR972060262066,ABR972060262066,Biogas Timmer GmbH ＆ Co. KG
ABR926838441443,ABR926838441443,Biogas Tramsen KG
ABR960671336573,ABR960671336573,Biogas Trebsen
ABR999443135175,ABR999443135175,Biogas Trelder Berg 3 GmbH
ABR997185399428,ABR997185399428,Biogas Trentmann GmbH und Co KG
ABR953762650528,ABR953762650528,Biogas Trüstedt GmbH ＆ Co. KG
ABR987886517122,ABR987886517122,Biogas Töttelstädt GmbH
ABR912980225420,ABR912980225420,Biogas UE GmbH
ABR955822381281,ABR955822381281,Biogas Uchte I GmbH ＆ Co. KG
ABR902773357292,ABR902773357292,Biogas Uchte II GmbH ＆ Co. KG
ABR942255420816,ABR942255420816,Biogas Ummendorf GmbH
ABR920233566893,ABR920233566893,Biogas Vanselow GmbH
ABR940665338493,ABR940665338493,Biogas Venbert GmbH ＆ Co. KG
ABR915744297114,ABR915744297114,Biogas Verliehausen GmbH
ABR938954914350,ABR938954914350,Biogas Verwaltungs GmbH
ABR970875219763,ABR970875219763,Biogas Viehorn GmbH ＆ Co. KG
ABR929839110042,ABR929839110042,Biogas Voglried GbR
ABR968096356350,ABR968096356350,Biogas Voigtsbrügge GmbH ＆ Co. KG
ABR978260062987,ABR978260062987,Biogas Volkfien GbR
ABR924453044971,ABR924453044971,Biogas Volkmarsen UG
ABR941431376077,ABR941431376077,Biogas WKW GbR
ABR931968177353,ABR931968177353,Biogas Wakenstädt GbR
ABR986715490407,ABR986715490407,Biogas Walter GmbH ＆ Co.KG
ABR912859196233,ABR912859196233,Biogas Wanzleben
ABR956095944739,ABR956095944739,Biogas Wardenburg GmbH
ABR970360077427,ABR970360077427,Biogas Warnken GmbH ＆ Co.KG
ABR959307474796,ABR959307474796,Biogas Waschulzik GbR
ABR944214208565,ABR944214208565,Biogas Wassenberg GmbH ＆ Co. KG
ABR979613977422,ABR979613977422,Biogas Weber/Meyer GmbH u. Co KG
ABR906250765839,ABR906250765839,Biogas Wefer GmbH ＆ Co. KG
ABR938479807533,ABR938479807533,Biogas Wegmann GmbH ＆ Co. KG
ABR917754347810,ABR917754347810,Biogas Wehdel GmbH ＆ Co. KG
ABR996040897925,ABR996040897925,Biogas Weidenhof Buckert GbR
ABR922416811622,ABR922416811622,Biogas Weitz
ABR947076225800,ABR947076225800,Biogas Welsetal GmbH ＆ Co. KG
ABR930702318519,ABR930702318519,Biogas Welzin GmbH
ABR981744847239,ABR981744847239,Biogas Werner Dopatka KG
ABR967024740247,ABR967024740247,Biogas Westerbakum GmbH ＆ Co. KG
ABR937998859221,ABR937998859221,Biogas Wetscher Bruch GmbH ＆ Co. KG
ABR909919148042,ABR909919148042,Biogas Wiechering-Sudmann GmbH ＆ Co. KG
ABR970221587287,ABR970221587287,Biogas Wiegmann GBR
ABR907999770269,ABR907999770269,Biogas Wietinghausen GmbH ＆ Co. KG
ABR960373357258,ABR960373357258,Biogas Wigger GmbH ＆ Co. KG
ABR967509715173,ABR967509715173,Biogas Wilhelminenhof GmbH ＆ Co. KG
ABR963093252827,ABR963093252827,Biogas Wingst GmbH ＆ Co. KG
ABR941894840399,ABR941894840399,Biogas Winkel GbR
ABR995315093352,ABR995315093352,Biogas Winsen 1 GmbH
ABR939697221859,ABR939697221859,Biogas Witte GbR
ABR969092625426,ABR969092625426,Biogas Wittmund GmbH ＆ Co. KG
ABR992406908298,ABR992406908298,Biogas Wolfhagen GmbH ＆ Co KG
ABR908871873849,ABR908871873849,Biogas Wolmirsleben GmbH ＆ Co.KG
ABR920085120007,ABR920085120007,Biogas Wrohm GmbH ＆ Co. KG
ABR984296408583,ABR984296408583,Biogas Wulff GmbH ＆ Co. KG
ABR933648693825,ABR933648693825,Biogas Wurz KG
ABR936070917583,ABR936070917583,Biogas Wächtering GbR
ABR992495964601,ABR992495964601,Biogas Wörth GmbH ＆ Co. KG
ABR956683968536,ABR956683968536,Biogas Z GbR
ABR970867431715,ABR970867431715,Biogas Zahrensdorf GmbH
ABR956288681335,ABR956288681335,Biogas Zehlendorf GbR
ABR935875572829,ABR935875572829,Biogas Zeiner GbR
ABR912625389425,ABR912625389425,Biogas Zeitvogel GmbH
ABR937244546929,ABR937244546929,Biogas Zellerfeld GmbH ＆ Co KG
ABR965544522749,ABR965544522749,Biogas im Tal GmbH Rainer Gevers
ABR979872332291,ABR979872332291,Biogas in Aicha
ABR924561298105,ABR924561298105,Biogas weper
ABR990309193254,ABR990309193254,Biogas Ödenhof Gbr
ABR988481664945,ABR988481664945,Biogas-Anlage-Lüder GbR
ABR989137676398,ABR989137676398,Biogas-Blome GmbH ＆ Co. KG
ABR907859992770,ABR907859992770,Biogas-Energiewerk Erber GbR
ABR924245660198,ABR924245660198,Biogas-GbR Scherble
ABR954581134077,ABR954581134077,Biogas-Kontor-Flensburg GmbH
ABR904784592297,ABR904784592297,Biogas-Lemper GmbH ＆ Co.KG
ABR966657055322,ABR966657055322,Biogas-Park Nordel GmbH ＆ CoKG
ABR976458519961,ABR976458519961,Biogas-Power GmbH
ABR964575972677,ABR964575972677,Biogas-Produktion Dersewitz GmbH
ABR985342772863,ABR985342772863,Biogas-Produktion Putlitz GmbH
ABR994574301185,ABR994574301185,Biogas-Produktion Vehlefanz GmbH
ABR987046444138,ABR987046444138,Biogas-Schültken GmbH ＆ Co. KG
ABR977646710009,ABR977646710009,"Biogasanlage ""Lüttje Wold"" GbR"
ABR963829407200,ABR963829407200,Biogasanlage Alois Schneider GbR
ABR901521320700,ABR901521320700,Biogasanlage Altscheid GmbH ＆ Co. KG
ABR937066955671,ABR937066955671,Biogasanlage Arenrath GmbH ＆ Co. KG
ABR935542894803,ABR935542894803,Biogasanlage Auetal GmbH＆Co. KG
ABR985503989024,ABR985503989024,Biogasanlage Bodensteiner Hof GmbH
ABR990982439939,ABR990982439939,Biogasanlage Boerkamp GbR
ABR945805522145,ABR945805522145,Biogasanlage Bredenfelde GmbH
ABR965175193356,ABR965175193356,Biogasanlage Brekling GmbH ＆ Co. KG
